"CHAVE DE ACESSO","MODELO","SÉRIE","NÚMERO","NATUREZA DA OPERAÇÃO","DATA EMISSÃO","EVENTO MAIS RECENTE","DATA/HORA EVENTO MAIS RECENTE","CPF/CNPJ Emitente","RAZÃO SOCIAL EMITENTE","INSCRIÇÃO ESTADUAL EMITENTE","UF EMITENTE","MUNICÍPIO EMITENTE","CNPJ DESTINATÁRIO","NOME DESTINATÁRIO","UF DESTINATÁRIO","INDICADOR IE DESTINATÁRIO","DESTINO DA OPERAÇÃO","CONSUMIDOR FINAL","PRESENÇA DO COMPRADOR","VALOR NOTA FISCAL"
"22250119864509000100550010000025281104500492","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","2528","VENDA DE MERCADORIA","01/01/2025 08:41:00","Autorização de Uso","02/01/2025 09:08:54","19864509000100","NASCIMENTO SALES PRODUTOS ALIMENTICIOS LTDA EPP","196335469","PI","TERESINA","07549168000108","2 BATALHAO DE ENGENHARIA DE CONSTRUCAO","PI","CONTRIBUINTE ISENTO","1 - OPERAÇÃO INTERNA","0 - NORMAL","0 - NÃO SE APLICA","6038.67"
"43250104355355000154550110000072561003139040","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","11","7256","COMPRA LEITE DE PRODUTOR","01/01/2025 08:53:01","Autorização de Uso","10/01/2025 08:58:40","04355355000154","COOPERATIVA DE PEQUENOS AGROPECUARISTAS DE IBIRUBA LTDA","640032508","RS","IBIRUBA","10637926001207","INSTITUTO FEDERAL DE EDUCACAO CIENC TECNOLOGIA DO RIO GRANDE","RS","CONTRIBUINTE ICMS","1 - OPERAÇÃO INTERNA","0 - NORMAL","1 - OPERAÇÃO PRESENCIAL","11905.14"
"51250110590296000100550020001116721010907109","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","2","111672","VENDA","01/01/2025 09:07:10","Autorização de Uso","01/01/2025 08:07:14","10590296000100","AUTO POSTO MARTINI LTDA","133664465","MT","AGUA BOA","00394544005063","MINISTERIO DA SAUDE","MT","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","290.02"
"51250119967950000207550010000666761097325833","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","66676","5656 Venda de combustivel ou lubrificante. adquiridos ou re","01/01/2025 09:19:12","Autorização de Uso","01/01/2025 09:19:14","19967950000207","L LUCIA KUHN & CIA LTDA","136835112","MT","CANARANA","00394544004504","MINISTERIO DA SAUDE","MT","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","159.05"
"33250128284941000113550030000920381013019771","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","3","92038","Vendas de Combustivel ou Lubrificantes","01/01/2025 09:23:31","Autorização de Uso","01/01/2025 09:23:47","28284941000113","POSTO CANCELA SERV E COM LTDA","82692290","RJ","MACAE","00394502022202","CAPITANIA DOS PORTOS DE MACAE","RJ","CONTRIBUINTE ISENTO","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","134.94"
"52250113759928000104550040000128691002446997","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","4","12869","VENDAS NF-E","01/01/2025 09:39:32","Autorização de Uso","01/01/2025 09:39:35","13759928000104","POSTO Z+Z SAO JUDAS TADEU LTDA","105052728","GO","GOIANIA","01567601000143","UNIVERSIDADE FEDERAL DE GOIAS","GO","CONTRIBUINTE ICMS","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","117.93"
"51250133855749000170550030000287551389695765","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","3","28755","Venda ao Consumidor","01/01/2025 09:41:55","Autorização de Uso","01/01/2025 09:42:02","33855749000170","VALE DA SERRA COMBUSTIVEIS LTDA","137758936","MT","QUERENCIA","00394544004504","MINISTERIO DA SAUDE","MT","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","248.00"
"33250128503456000193550020000440271101927522","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","2","44027","VENDA","01/01/2025 09:44:28","Autorização de Uso","01/01/2025 09:44:31","28503456000193","POSTO DOS PESCADORES LTDA","80607644","RJ","ANGRA DOS REIS","00394502011774","COMANDO DA MARINHA DEL. CAPITANIA DOS PORTOS RJ","RJ","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","69.38"
"33250141723330000192550010000000701448757075","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","70","VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS. D...","01/01/2025 09:46:03","Autorização de Uso","06/01/2025 09:46:03","41723330000192","P M VALES COMERCIO E SERVICOS","12057660","RJ","RIO DE JANEIRO","10723648000735","INSTITUTO FEDERAL DE EDUCACAO CIENC ECNOLOGIA DO SUDESTE DE","MG","NÃO CONTRIBUINTE","2 - OPERAÇÃO INTERESTADUAL","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","1090.00"
"33250141723330000192550010000000691726145349","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","69","VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS","01/01/2025 09:48:23","Autorização de Uso","06/01/2025 09:48:23","41723330000192","P M VALES COMERCIO E SERVICOS","12057660","RJ","RIO DE JANEIRO","11234780000312","UNIVERSIDADE FEDERAL DA FRONTEIRA SUL- UFFS CAMPUS","RS","NÃO CONTRIBUINTE","2 - OPERAÇÃO INTERESTADUAL","0 - NORMAL","1 - OPERAÇÃO PRESENCIAL","9415.00"
"51250136381687000108550010000345751002775542","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","34575","VENDA","01/01/2025 09:49:07","Autorização de Uso","01/01/2025 09:49:25","36381687000108","RN COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA","138037752","MT","JUINA","00394544003605","]MINISTERIO DA SAUDE","DF","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","378.00"
"33250141723330000192550010000000681560577271","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","68","VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS. D...","01/01/2025 09:49:38","Autorização de Uso","06/01/2025 09:49:38","41723330000192","P M VALES COMERCIO E SERVICOS","12057660","RJ","RIO DE JANEIRO","15180714000520","UNIVERSIDADE FEDERAL DA BAHIA","BA","NÃO CONTRIBUINTE","2 - OPERAÇÃO INTERESTADUAL","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","3919.60"
"33250100331788000623552000005060991452655898","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","200","506099","VENDA DE MERC.ADQ.REC.TER","01/01/2025 09:56:56","Autorização de Uso","01/01/2025 09:57:00","00331788000623","AIR LIQUIDE BRASIL LTDA","75903340","RJ","BELFORD ROXO","00394502014870","HOSPITAL NAVAL MARCILIO DIAS","RJ","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","9 - OPERAÇÃO NÃO PRESENCIAL. OUTROS","720.00"
"33250144010279000160550010000003121000250000","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","312","Revenda de produtos oriundos de terceiros","01/01/2025 10:00:00","Autorização de Uso","19/01/2025 10:04:59","44010279000160","IRENE DE OLIVEIRA","14119434","RJ","RIO DE JANEIRO","00394502045326","GRUPAMENTO DE NAVIOS HIDROOCEANOGRAFICO","RJ","CONTRIBUINTE ISENTO","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","0 - NÃO SE APLICA","74.00"
"33250144010279000160550010000003131000250007","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","313","Revenda de produtos oriundos de terceiros","01/01/2025 10:00:00","Autorização de Uso","19/01/2025 10:12:49","44010279000160","IRENE DE OLIVEIRA","14119434","RJ","RIO DE JANEIRO","00394502045326","GRUPAMENTO DE NAVIOS HIDROOCEANOGRAFICO","RJ","CONTRIBUINTE ISENTO","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","0 - NÃO SE APLICA","18.50"
"51250124503991000193550010000434701336451080","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","43470","VENDA DE MERCADORIA","01/01/2025 10:32:34","Autorização de Uso","01/01/2025 09:32:32","24503991000193","AUTO POSTO REZENDAO LTDA","136246699","MT","CAMPINAPOLIS","00394544005063","MINISTERIO DA SAUDE","MT","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","0 - NÃO SE APLICA","339.66"
"53250121866592000107550010001115641602411819","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","111564","(F) VENDA DE MERCADORIA","01/01/2025 10:42:14","Autorização de Uso","01/01/2025 10:46:08","21866592000107","NUTRIFICA COMERCIO DE NUTRICAO ENTERAL E PARENTERAL LTDA.","771068100128","DF","BRASILIA","03568867000136","HOSPITAL DAS FORCAS ARMADAS","DF","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","9 - OPERAÇÃO NÃO PRESENCIAL. OUTROS","73.39"
"51250118022755000152550020000046381011044190","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","2","4638","VENDA","01/01/2025 10:44:19","Autorização de Uso","01/01/2025 10:44:25","18022755000152","AUTO POSTO AGUA BOA LTDA","134974891","MT","AGUA BOA","00394544005063","MINISTERIO DA SAUDE","MT","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","455.03"
"53250133453598005435550010000502611723162805","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","50261","Venda de combustivel ou lubrificante a consumidor","01/01/2025 10:52:55","Autorização de Uso","02/01/2025 10:53:03","33453598005435","RAIZEN S.A.","730424700278","DF","BRASILIA","00394429003045","COMANDO DA AERONAUTICA","SP","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","3172.35"
"13250134597955000432556150000017361629298834","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","615","1736","VENDA PROD. ESTAB. EFET. FORA ESTABELECIMENTO","01/01/2025 11:19:01","Autorização de Uso","01/01/2025 11:18:47","34597955000432","WHITE MARTINS GASES INDUSTRIAIS DO NORTE LTDA.","63001292","AM","MANAUS","09601850000209","HOSPITAL MILITAR DE AREA DE MANAUS","AM","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","5 - NÃO INFORMADO","3456.44"
"35250153665245000102550010000000071246684949","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","7","Venda Dentro do Estado","01/01/2025 11:19:12","Autorização de Uso","01/01/2025 11:19:14","53665245000102","CARINA MACHADO ALMASAN","151191700114","SP","SAO JOSE DOS CAMPOS","01263896000598","MINISTERIO DA CIENCIA E TECNOLOGIA","SP","CONTRIBUINTE ISENTO","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","2 - OPERAÇÃO NÃO PRESENCIAL. PELA INTERNET","1295.00"
"35250156122133000195550010000000991788209300","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","99","VENDA DE MERCADORIA","01/01/2025 11:30:00","Autorização de Uso","18/01/2025 18:04:59","56122133000195","JONELUC COMERCIAL LTDA","462112836112","SP","MONTE APRAZIVEL","10764307001860","INSTITUTO FEDERAL DE EDUCACAO. CIENCIA E TECNOLOGI","BA","NÃO CONTRIBUINTE","2 - OPERAÇÃO INTERESTADUAL","1 - CONSUMIDOR FINAL","0 - NÃO SE APLICA","10794.76"
"33250115485705000113550010000004121905205070","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","412","VENDA","01/01/2025 11:47:00","Autorização de Uso","01/01/2025 11:56:23","15485705000113","EDUARDO PINTO LOUREIRO MONTAGENS INDUSTRIAIS","12234732","RJ","ITABORAI","09571694000191","COMANDO 14 BRIGADA INFANTARIA MOTORIZADA","SC","NÃO CONTRIBUINTE","2 - OPERAÇÃO INTERESTADUAL","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","152.21"
"51250108688481000181550030000094141003291500","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","3","9414","EMISSAO DE NF-E","01/01/2025 12:23:55","Autorização de Uso","01/01/2025 12:24:07","08688481000181","MONTE GERIZIM COMERCIO DE COMBUSTIVEIS LTDA","133351890","MT","CACERES","00394494002856","SUPERINTENDENCIA REGIONAL DO DPF EM MT","MT","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","258.41"
"35250152368711000117550010000000551200884016","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","55","Venda de mercadoria a nao contribuinte","01/01/2025 13:00:53","Autorização de Uso","01/01/2025 13:00:53","52368711000117","LICITATECH COMERCIO E ASSESSORIA EM LICITACOES LTDA","206939045114","SP","BARUERI","11234780000312","UNIVERSIDADE FEDERAL DA FRONTEIRA SUL- UFFS CAMPUS","RS","NÃO CONTRIBUINTE","2 - OPERAÇÃO INTERESTADUAL","1 - CONSUMIDOR FINAL","9 - OPERAÇÃO NÃO PRESENCIAL. OUTROS","4350.00"
"29250110889989000190550010000117111956832035","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","11711","Venda de Producao do Estabelecimento","01/01/2025 13:08:17","Autorização de Uso","01/01/2025 13:09:07","10889989000190","FLEX MAKER PRODUCAO E COMERCIO LTDA","83182611","BA","CAMACARI","09591608000293","SP - HOSPITAL MILITAR DE AREA DE SAO PAULO (3605)","SP","NÃO CONTRIBUINTE","2 - OPERAÇÃO INTERESTADUAL","1 - CONSUMIDOR FINAL","9 - OPERAÇÃO NÃO PRESENCIAL. OUTROS","2313.22"
"53250110575244000156550010000001051340674803","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","105","VENDAS MERC AD DE TERCEIROS","01/01/2025 13:10:09","Autorização de Uso","17/01/2025 13:10:22","10575244000156","AGROGIROS COMERCIO DE PRODUTOS AGROPECUARIOS LTDA","751532900153","DF","BRASILIA","02270669000129","AGENCIA NACIONAL DE ENERGIA ELETRICA - ANEEL","DF","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","0 - NÃO SE APLICA","578.00"
"51250110737595000469550010002864781008028236","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","286478","VENDA DE COMBUSTIVEL CONSUMIDOR OUTRA UF","01/01/2025 13:10:19","Autorização de Uso","01/01/2025 13:10:30","10737595000469","VIEIRA & PIZZOLI VIEIRA LTDA","137275200","MT","SINOP","04898488000177","AGENCIA NACIONAL DE TRANSPORTES TERRESTRES - ANTT","DF","CONTRIBUINTE ISENTO","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","366.06"
"15250148423543000148550010000000311243727921","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","31","Venda de mercadoria a nao contribuinte","01/01/2025 13:11:24","Autorização de Uso","15/01/2025 13:11:41","48423543000148","G L TEIXEIRA LTDA","158635647","PA","SANTA MARIA DO PARA","00394494003070","MINISTERIO DA JUSTICA E SEGURANCA PUBLICA","PA","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","9 - OPERAÇÃO NÃO PRESENCIAL. OUTROS","4000.00"
"35250152368711000117550010000000561201313354","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","56","Venda de mercadoria a nao contribuinte","01/01/2025 13:16:29","Autorização de Uso","01/01/2025 13:16:29","52368711000117","LICITATECH COMERCIO E ASSESSORIA EM LICITACOES LTDA","206939045114","SP","BARUERI","10784782000665","IFMT CAMPUS PONTES E LACERDA","MT","NÃO CONTRIBUINTE","2 - OPERAÇÃO INTERESTADUAL","1 - CONSUMIDOR FINAL","9 - OPERAÇÃO NÃO PRESENCIAL. OUTROS","870.00"
"51250124503991000193550010000434711710137154","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","43471","VENDA DE MERCADORIA","01/01/2025 13:24:59","Autorização de Uso","01/01/2025 12:24:58","24503991000193","AUTO POSTO REZENDAO LTDA","136246699","MT","CAMPINAPOLIS","00394544005063","MINISTERIO DA SAUDE","MT","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","0 - NÃO SE APLICA","250.00"
"50250128991328000136550010000004261001326017","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","426","5405-Venda de mercadoria adquirida ou recebida de terceiros","01/01/2025 13:26:02","Autorização de Uso","01/01/2025 13:26:02","28991328000136","LOG COMERCIO DE PRODUTOS ALIMENTICIOS LTDA","284882968","MS","CAMPO GRANDE","09549370000157","9 GRUPAMENTO LOGISTICO","MS","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","1225.00"
"11250105883236000137550030000015831108106573","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","3","1583","VENDA DE MERCADORIA","01/01/2025 13:29:50","Autorização de Uso","01/01/2025 13:29:51","05883236000137","NOGUEIRA E CIA LTDA","9091","RO","GUAJARA-MIRIM","00394494003828","MINISTERIO DA JUSTICA E SEGURANCA PUBLICA","RO","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","0 - NÃO SE APLICA","500.00"
"50250128991328000136550010000004271001332081","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","427","5405-Venda de mercadoria adquirida ou recebida de terceiros","01/01/2025 13:32:08","Autorização de Uso","01/01/2025 13:32:09","28991328000136","LOG COMERCIO DE PRODUTOS ALIMENTICIOS LTDA","284882968","MS","CAMPO GRANDE","09539711000103","HOSPITAL MILITAR DE AREA DE CAMPO GRANDE","MS","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","1282.34"
"31250100029372001031550040000690141102389464","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","4","69014","Remessa em Garantia","01/01/2025 13:36:03","Autorização de Uso","01/01/2025 13:36:11","00029372001031","GE HEALTHCARE DO BRASIL COM E SERV P/ EQUIP. MED HOSPIT LTDA","15175500171","MG","EXTREMA","17217985002824","UNIVERSIDADE FEDERAL DE MINAS GERAIS","MG","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","9 - OPERAÇÃO NÃO PRESENCIAL. OUTROS","5539.13"
"31250100029372001031550040000690161102429444","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","4","69016","Remessa em Garantia","01/01/2025 13:36:04","Autorização de Uso","01/01/2025 13:36:12","00029372001031","GE HEALTHCARE DO BRASIL COM E SERV P/ EQUIP. MED HOSPIT LTDA","15175500171","MG","EXTREMA","28523215000378","HOSPITAL UNIVERSITARIO ANTONIO PEDRO","RJ","NÃO CONTRIBUINTE","2 - OPERAÇÃO INTERESTADUAL","1 - CONSUMIDOR FINAL","9 - OPERAÇÃO NÃO PRESENCIAL. OUTROS","21269.05"
"51250102896716000144550010003733091701071391","55 - NF-E EMITIDA EM SUBSTITUIÇÃO AO MODELO 1 OU 1A","1","373309","VENDAS DE COMBUISTIVEIS E LUBRIFICA","01/01/2025 13:40:38","Autorização de Uso","01/01/2025 13:40:39","02896716000144","D E CERUTTI & CIA LTDA","131915509","MT","PRIMAVERA DO LESTE","00394544003605","]MINISTERIO DA SAUDE","DF","NÃO CONTRIBUINTE","1 - OPERAÇÃO INTERNA","1 - CONSUMIDOR FINAL","1 - OPERAÇÃO PRESENCIAL","399.98"
